LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2
"Worli Naka , Mumbai","Bandra, Mumbai",19.000633,72.81681209999999,19.0606917,72.8362497
"Mumbai , Mumbai","Panvel, Mumbai",19.0176169,72.8561288,18.9894007,73.1175162
"thane , Mumbai","Wadala., Mumbai",19.0759837,72.8776559,19.0151285,72.8580644
"Mumbai-Pune expressway , Mumbai","Khandala, Mumbai",18.9964198,73.1324692,18.7548203,73.3777772
"Mankhurd flyover, Mumbai","Mumbai, Mumbai",19.0512852,72.93714659999999,19.0176169,72.8561288
"WEH , Mumbai","bandra, Mumbai",19.0759837,72.8776559,19.0606917,72.8362497
"Jogeshwari , Mumbai","Hiranandani, Mumbai",19.1405116,72.8421555,19.1153798,72.9091436
"Ghatkopar , Mumbai","Kurla, Mumbai",19.0856491,72.9082207,19.0599836,72.889999
"Powai , Mumbai","Sakinaka, Mumbai",19.1196773,72.9050809,19.0948958,72.8865248
"Andheri west, Mumbai","Bandra, Mumbai",19.1363246,72.82766,19.0606917,72.8362497
"Borivali , Mumbai","Parle, Mumbai",19.2371877,72.8441358,19.1050428,72.8457203
"Wadala , Mumbai","Chembur, Mumbai",19.0151285,72.8580644,19.0327996,72.89635679999999
"Powai , Mumbai","NaviMumbai., Mumbai",19.1196773,72.9050809,19.0330488,73.0296625
"Mahalaxmi , Mumbai","Haji Ali., Mumbai",18.983117,72.8168573,18.9778192,72.8104819
"chakala , Mumbai","WEH., Mumbai",19.1097712,72.8582672,19.0759837,72.8776559
"Thane Belapur , Mumbai","Nerul, Mumbai",19.1425582,73.0120312,19.033,73.02
"Pune-Mumbai expressway, Mumbai","Mumbai, Mumbai",19.1792628,73.0225864,19.0176169,72.8561288
"andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497
"Panvel , Mumbai","CST, Mumbai",18.9894007,73.1175162,18.9409708,72.8346536
"Andheri flyover, Mumbai","Parle WEH, Mumbai",19.1150205,72.84951339999999,19.1102949,72.8409693
"Shiv Sena Bhavan , Mumbai","Mahim, Mumbai",18.957756,72.8276012,19.0351534,72.8404432
"Shibili , Mumbai","Mumbai, Mumbai",19.1158852,72.836758,19.0176169,72.8561288
"Bandra , Mumbai","Dahisar, Mumbai",19.0606917,72.8362497,19.2499632,72.85939429999999
"Matunga east, Mumbai","Thane, Mumbai",19.0268747,72.8553352,19.0759837,72.8776559
"Borivali , Mumbai","Thakur, Mumbai",19.2371877,72.8441358,19.2017785,72.8562594
"Santacruz flyover, Mumbai","Chembur, Mumbai",19.0751712,72.8723361,19.0327996,72.89635679999999
"JVLR , Mumbai","EEH, Mumbai",19.1247111,72.8957516,19.0759837,72.8776559
"Dadar , Mumbai","Andheri, Mumbai",19.021324,72.84241779999999,19.1171389,72.846563
"Andheri, Mumbai","worli, Mumbai",19.1171389,72.846563,18.9872015,72.8290456
"JVLR , Mumbai","Airport, Mumbai",19.1247111,72.8957516,19.0901765,72.8687391
"Bandra , Mumbai","Lower Parel, Mumbai",19.0606917,72.8362497,18.9927476,72.8310679
"Kandivali , Mumbai","Prabhadevi, Mumbai",19.2045159,72.8520095,19.0158466,72.82799729999999
"Airoli Bridge, Mumbai","EEH, Mumbai",19.1514492,72.9762059,19.0759837,72.8776559
"EEH , Mumbai","Matunga, Mumbai",19.0759837,72.8776559,19.0268747,72.8553352
"Bandra , Mumbai","Dadar, Mumbai",19.0606917,72.8362497,19.021324,72.84241779999999
"Churchgate , Mumbai","Andheri, Mumbai",18.9322453,72.8264378,19.1171389,72.846563
"Kandivali, Mumbai","Goregao, Mumbai",19.2045159,72.8520095,19.1551485,72.8678551
"Andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497
