LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2,LAT1_NEAR,LNG1_NEAR,LAT2_NEAR,LNG2_NEAR
"Pune-Mumbai expressway, Mumbai","Mumbai, Mumbai",19.1792628,73.0225864,19.0176169,72.8561288,19.179518,73.02249,19.014153,72.852038
"andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497,19.114485,72.84749,19.059348,72.833521
"Panvel , Mumbai","CST, Mumbai",18.9894007,73.1175162,18.9409708,72.8346536,18.988543,73.121323,18.939156,72.835428
"Andheri flyover, Mumbai","Parle WEH, Mumbai",19.1150205,72.8495134,19.1102949,72.8409693,19.11168,72.849467,19.109197,72.840615
"Shiv Sena Bhavan , Mumbai","Mahim, Mumbai",18.957756,72.8276012,19.0351534,72.8404432,18.957648,72.826899,19.031667,72.842153
"Shibili , Mumbai","Mumbai, Mumbai",19.1158852,72.836758,19.0176169,72.8561288,19.116214,72.831926,19.014153,72.852038
"Bandra , Mumbai","Dahisar, Mumbai",19.0606917,72.8362497,19.2499632,72.8593943,19.059348,72.833521,19.247674,72.859154
"Matunga east, Mumbai","Thane, Mumbai",19.0268747,72.8553352,19.0759837,72.8776559,19.025352,72.857047,19.075357,72.878716
"Borivali , Mumbai","Thakur, Mumbai",19.2371877,72.8441358,19.2017785,72.8562594,19.241261,72.84643,19.198915,72.860666
"Santacruz flyover, Mumbai","Chembur, Mumbai",19.0751712,72.8723361,19.0327996,72.8963568,19.071427,72.872137,19.034365,72.895869
"JVLR , Mumbai","EEH, Mumbai",19.1247111,72.8957516,19.0759837,72.8776559,19.123033,72.898429,19.075357,72.878716
