SER,Distance,Speed,TIME
32,0.142,14.373278053822363,8
32,0.142,12.453784962779906,9
32,0.142,12.107610973656133,10
32,0.142,12.414201599289726,11
32,0.142,11.75032884765019,12
32,0.142,12.005209707811236,13
32,0.142,12.398162664343229,14
32,0.142,11.651505498071646,15
32,0.142,11.420167124035611,16
32,0.142,11.823422767154515,17
32,0.142,11.782457821080975,18
32,0.142,12.360447185098467,19
32,0.142,13.242031848569868,20
32,0.142,14.330040920486901,21
32,0.143,15.141488095238094,22
32,0.143,15.276317204301074,23
33,0.162,15.695396299032666,0
33,0.162,16.88735254083485,1
33,0.162,16.771153846153847,2
33,0.162,16.12955821371611,3
33,0.162,16.26272727272728,4
33,0.162,17.112610277653385,5
33,0.161,16.33992513368984,6
33,0.161,16.26915642915643,7
33,0.143,17.388908961309685,8
33,0.143,16.643818220389207,9
33,0.143,15.996052915666708,10
33,0.143,15.115805147132061,11
33,0.143,15.670961821244743,12
33,0.143,16.101625819167282,13
33,0.143,14.939647827863045,14
33,0.143,15.426792310879126,15
33,0.143,15.271367048304093,16
33,0.161,14.743621722913739,17
33,0.143,14.52627468229738,18
33,0.143,14.880948445493898,19
33,0.143,14.583720327395385,20
33,0.143,15.266344440481909,21
33,0.144,14.849877100140256,22
33,0.162,15.05247718142455,23
34,0.15,33.52272727272727,0
34,0.15,36.5625,1
34,0.15,34.42307692307692,2
34,0.15,32.833333333333336,3
34,0.15,31.785714285714285,4
34,0.15,34.42994505494506,5
34,0.15,32.65384615384615,6
34,0.15,32.301857585139324,7
34,0.15,26.962430426716143,8
34,0.15,27.27723320158103,9
34,0.15,23.55666666666667,10
34,0.15,23.05969387755102,11
34,0.15,23.53047619047619,12
34,0.15,23.573809523809523,13
34,0.15,24.22908163265306,14
34,0.15,22.163333333333338,15
34,0.15,25.61714285714286,16
34,0.15,23.93112244897959,17
34,0.15,19.849560117302058,18
34,0.15,21.542799113218937,19
34,0.15,20.558528836754647,20
34,0.15,24.357733175914994,21
34,0.15,25.154331357048743,22
34,0.15,29.542892156862745,23
35,0.093,13.49786561264822,0
35,0.093,13.467130434782606,1
35,0.093,12.883424749163877,2
35,0.093,13.391999999999998,3
35,0.093,16.278923076923075,4
35,0.093,16.579581188997334,5
35,0.093,17.335691925465834,6
35,0.093,18.176673992673994,7
35,0.093,16.6924425349087,8
35,0.093,14.944103042596346,9
35,0.093,14.885634782608692,10
35,0.093,14.154398169336384,11
35,0.093,14.848808749145588,12
35,0.093,14.221672103182858,13
35,0.093,14.219939195815625,14
35,0.093,13.967999999999996,15
35,0.093,14.320245308924482,16
35,0.093,15.375826740764955,17
35,0.093,13.129097578636198,18
35,0.093,12.16046951403473,19
35,0.093,11.792427435839201,20
35,0.093,13.519870397337217,21
35,0.093,13.12430184540083,22
35,0.093,13.361934065934065,23
36,0.093,34.24090909090909,0
36,0.093,34.526250000000005,1
36,0.093,32.7414705882353,2
36,0.093,33.20100000000001,3
36,0.093,32.58321428571429,4
36,0.093,35.43662337662338,5
36,0.093,33.82912299465241,6
36,0.093,32.29636363636364,7
36,0.093,23.284849918988577,8
36,0.093,22.952764705882355,9
36,0.093,22.662823529411767,10
36,0.093,22.885876824413973,11
36,0.093,24.111918660287085,12
36,0.093,22.474712074303408,13
36,0.093,25.120180229986733,14
36,0.093,24.035941176470594,15
36,0.093,25.73364705882353,16
36,0.093,24.240567226890754,17
36,0.093,20.649647058823525,18
36,0.093,24.826892894608907,19
36,0.093,21.059485294117646,20
36,0.093,26.83933884297521,21
36,0.093,25.346332417582417,22
36,0.093,30.129278368690134,23
37,0.241,22.21491386662118,0
37,0.241,28.56731707317074,1
37,0.241,23.17759849906192,2
37,0.241,22.642243902439027,3
37,0.241,20.51127467851051,4
37,0.241,26.849151743678977,5
37,0.241,25.140380237648532,6
37,0.224,19.791408247264176,7
37,0.224,12.713373285223517,8
37,0.224,13.898060595488682,9
37,0.224,15.136776771842886,10
37,0.241,14.347810194903788,11
37,0.224,18.557773466314718,12
37,0.224,19.164283733206386,13
37,0.224,15.008572367805483,14
37,0.224,13.681028942482031,15
37,0.224,15.153029923566942,16
37,0.224,16.065765549751223,17
37,0.224,16.17920951544054,18
37,0.224,16.464986214654903,19
37,0.224,14.569742230198223,20
37,0.224,18.268652482072245,21
37,0.241,18.198310267686537,22
37,0.241,18.53055819440533,23
38,0.218,17.902399454204332,0
38,0.218,17.062849931123896,1
38,0.218,17.15425861262957,2
38,0.218,17.60786322016044,3
38,0.218,17.983454246588025,4
38,0.218,18.242562978644926,5
38,0.219,17.479495255963553,6
38,0.219,18.00626105601715,7
38,0.219,16.88196667276624,8
38,0.219,16.798412264360756,9
38,0.219,14.377305915831588,10
38,0.219,13.756026705427981,11
38,0.219,12.880612995699954,12
38,0.219,13.148066481185834,13
38,0.219,13.741327453091525,14
38,0.219,11.89986898954704,15
38,0.219,13.189520708618444,16
38,0.219,14.267184033675859,17
38,0.219,12.136508004249643,18
38,0.219,12.67158543312467,19
38,0.219,13.631849435691562,20
38,0.219,15.637370933714237,21
38,0.218,15.71279155691221,22
38,0.218,16.766829257767494,23
39,0.186,27.14161884627001,0
39,0.186,28.201245847176082,1
39,0.186,27.706390925711144,2
39,0.186,27.05769997444416,3
39,0.186,27.43552626775218,4
39,0.186,25.732605268485667,5
39,0.186,27.421389045736873,6
39,0.186,26.763742124542123,7
39,0.186,22.546535720871418,8
39,0.186,20.692187307324307,9
39,0.186,18.007382153914158,10
39,0.186,17.81246538872698,11
39,0.186,16.12513970544719,12
39,0.186,17.968920848972,13
39,0.186,18.37429749652341,14
39,0.186,16.40279190576865,15
39,0.186,17.3923824943514,16
39,0.186,21.044560800607314,17
39,0.186,17.497340794419845,18
39,0.186,18.37704831352997,19
39,0.186,17.830645834137044,20
39,0.186,21.496381345926803,21
39,0.186,23.54408123305457,22
39,0.186,23.82116159809183,23
40,0.16,13.3953488372093,0
40,0.16,13.3953488372093,1
40,0.16,13.3953488372093,2
40,0.16,13.3953488372093,3
40,0.16,11.960132890365447,4
40,0.16,11.960132890365447,5
40,0.16,11.609302325581394,6
40,0.16,10.716279069767443,7
40,0.16,10.524916943521594,8
40,0.16,10.716279069767443,9
40,0.16,11.003322259136214,10
40,0.16,10.716279069767443,11
40,0.16,11.1231007751938,12
40,0.16,10.716279069767443,13
40,0.16,11.003322259136214,14
40,0.16,10.716279069767443,15
40,0.16,10.716279069767443,16
40,0.16,10.960797342192693,17
40,0.16,11.1231007751938,18
40,0.16,11.568710359408032,19
40,0.16,11.720930232558139,20
40,0.16,11.568710359408032,21
40,0.16,12.27906976744186,22
40,0.16,13.3953488372093,23
41,0.128,29.62285714285715,0
41,0.128,29.327472527472537,1
41,0.128,28.694505494505503,2
41,0.128,29.76914285714287,3
41,0.128,30.72000000000001,4
41,0.128,28.14806168621295,5
41,0.128,30.604824822236594,6
41,0.128,29.129142857142867,7
41,0.128,24.381808302268272,8
41,0.128,23.299511713915376,9
41,0.128,17.435384045060665,10
41,0.128,15.797486493424202,11
41,0.128,17.97885792602223,12
41,0.128,18.70311584758644,13
41,0.128,14.153244132264705,14
41,0.128,13.680188147789172,15
41,0.128,15.269515952646385,16
41,0.128,16.72830960344004,17
41,0.128,15.502158747646215,18
41,0.128,14.963058469145421,19
41,0.128,14.02754066283478,20
41,0.128,20.032432854501817,21
41,0.128,24.35878787878788,22
41,0.128,25.422733303847853,23
42,0.097,24.942857142857147,0
42,0.097,25.684165834165835,1
42,0.097,24.580588642127104,2
42,0.097,24.45252747252747,3
42,0.097,23.965832784726793,4
42,0.097,27.943392321963753,5
42,0.097,25.780099900099906,6
